time_ms,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,14.23,7.74,5.98,0,0,0,0.1,0.09,0.05,0.1,0.07,0.01,0,0,0,0,0,0,4.59,3.95,2.28,17,0,0
1000,14.23,7.74,5.98,0,0,0,0.1,0.09,0.05,0.1,0.07,0.01,0,0,0,0,0,0,5.27,4.1,2.34,16,0,0
2000,16,8.27,6.1,0,0,0,0.08,0.09,0.05,0.08,0.07,0.01,0,0,0,0,0,0,5.27,4.1,2.34,11,0,0
3000,16,8.27,6.1,0,0,0,0.08,0.09,0.05,0.08,0.07,0.01,0,0,0,0,0,0,5.27,4.1,2.34,11,0,0
4000,18.17,8.92,6.25,0,0,0,0.07,0.08,0.05,0.07,0.07,0.01,0,0,0,0,0,0,5.27,4.1,2.34,11,0,0
5000,18.17,8.92,6.25,0,0,0,0.07,0.08,0.05,0.07,0.07,0.01,0,0,0,0,0,0,5.27,4.1,2.34,11,0,0
6000,20.31,9.61,6.42,0,0,0,0.05,0.08,0.05,0.05,0.07,0.01,0,0,0,0,0,0,6.05,4.28,2.4,14,0,0
7000,20.31,9.61,6.42,0,0,0,0.05,0.08,0.05,0.05,0.07,0.01,0,0,0,0,0,0,6.05,4.28,2.4,14,0,0
8000,21.52,10.18,6.56,0,0,0,0.04,0.08,0.05,0.04,0.06,0.01,0,0,0,0,0,0,6.05,4.28,2.4,11,0,0
9000,21.52,10.18,6.56,0,0,0,0.04,0.08,0.05,0.04,0.06,0.01,0,0,0,0,0,0,6.05,4.28,2.4,11,0,0
10000,23.42,10.89,6.73,0,0,0,0.03,0.07,0.05,0.03,0.06,0.01,0,0,0,0,0,0,6.05,4.28,2.4,11,0,0
11000,23.42,10.89,6.73,0,0,0,0.03,0.07,0.05,0.03,0.06,0.01,0,0,0,0,0,0,6.52,4.41,2.46,11,0,0
12000,24.07,11.42,6.87,0,0,0,0.03,0.07,0.05,0.03,0.06,0.01,0,0,0,0,0,0,6.52,4.41,2.46,11,0,0
13000,24.07,11.42,6.87,0,0,0,0.03,0.07,0.05,0.03,0.06,0.01,0,0,0,0,0,0,6.52,4.41,2.46,11,0,0
14000,24.78,11.96,7.02,0,0,0,0.02,0.07,0.05,0.02,0.06,0.01,0,0,0,0,0,0,6.52,4.41,2.46,11,0,0
15000,24.78,11.96,7.02,0,0,0,0.02,0.07,0.05,0.02,0.06,0.01,0,0,0,0,0,0,6.52,4.41,2.46,13,0,0
16000,25.18,12.45,7.15,0,0,0,0.02,0.07,0.05,0.02,0.05,0.01,0,0,0,0,0,0,6.96,4.53,2.51,11,0,0
17000,25.18,12.45,7.15,0,0,0,0.02,0.07,0.05,0.02,0.05,0.01,0,0,0,0,0,0,6.96,4.53,2.51,13,0,0
18000,25.69,12.96,7.3,0,0,0,0.01,0.06,0.05,0.01,0.05,0.01,0,0,0,0,0,0,6.96,4.53,2.51,11,0,0
19000,25.69,12.96,7.3,0,0,0,0.01,0.06,0.05,0.01,0.05,0.01,0,0,0,0,0,0,6.96,4.53,2.51,11,0,0
20000,26.47,13.52,7.45,0,0,0,0.01,0.06,0.05,0.01,0.05,0.01,0,0,0,0,0,0,6.96,4.53,2.51,11,0,0
21000,26.47,13.52,7.45,0,0,0,0.01,0.06,0.05,0.01,0.05,0.01,0,0,0,0,0,0,7.37,4.66,2.56,11,0,0
22000,25.84,13.83,7.56,0,0,0,0.01,0.06,0.05,0.01,0.05,0.01,0,0,0,0,0,0,7.37,4.66,2.56,12,0,0
23000,25.84,13.83,7.56,0,0,0,0.01,0.06,0.05,0.01,0.05,0.01,0,0,0,0,0,0,7.37,4.66,2.56,13,0,0
24000,25.51,14.16,7.67,0,0,0,0,0.06,0.05,0,0.05,0.01,0,0,0,0,0,0,7.37,4.66,2.56,12,0,0
25000,25.51,14.16,7.67,0,0,0,0,0.06,0.05,0,0.05,0.01,0,0,0,0,0,0,7.37,4.66,2.56,11,0,0
26000,25.05,14.45,7.77,0,0,0,0,0.05,0.05,0,0.04,0.01,0,0,0,0,0,0,7.9,4.81,2.62,11,0,0
27000,25.05,14.45,7.77,0,0,0,0,0.05,0.05,0,0.04,0.01,0,0,0,0,0,0,7.9,4.81,2.62,11,0,0
28000,25.95,14.96,7.93,0,0,0,0,0.05,0.05,0,0.04,0,0,0,0,0,0,0,7.9,4.81,2.62,11,0,0
29000,25.95,14.96,7.93,0,0,0,0,0.05,0.05,0,0.04,0,0,0,0,0,0,0,7.9,4.81,2.62,12,0,0
30000,26.5,15.42,8.07,0,0,0,0,0.05,0.05,0,0.04,0,0,0,0,0,0,0,7.9,4.81,2.62,11,0,0
31000,26.5,15.42,8.07,0,0,0,0,0.05,0.05,0,0.04,0,0,0,0,0,0,0,8.39,4.97,2.68,15,0,0
32000,26.95,15.86,8.21,0,0,0,0,0.05,0.05,0,0.04,0,0,0,0,0,0,0,8.39,4.97,2.68,11,0,0
33000,26.95,15.86,8.21,0,0,0,0,0.05,0.05,0,0.04,0,0,0,0,0,0,0,8.39,4.97,2.68,11,0,0
34000,27.32,16.29,8.36,0,0,0,0,0.05,0.04,0,0.04,0,0,0,0,0,0,0,8.39,4.97,2.68,11,0,0
35000,27.32,16.29,8.36,0,0,0,0,0.05,0.04,0,0.04,0,0,0,0,0,0,0,8.39,4.97,2.68,11,0,0
36000,27.63,16.71,8.5,0,0,0,0,0.04,0.04,0,0.04,0,0,0,0,0,0,0,8.76,5.1,2.74,11,0,0
