time_ms,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,2.32,10.65,10.06,0,0,0,31.15,6.39,1.38,29.77,6.11,1.3,0,0,0,0,0,0,6.88,6.12,3.44,6,10,0
1000,2.32,10.65,10.06,0,0,0,31.15,6.39,1.38,29.77,6.11,1.3,0,0,0,0,0,0,6.88,6.12,3.44,3,12,0
2000,2.26,10.37,10.01,0,0,0,37.82,8.41,1.84,35.24,7.87,1.7,0,0,0,0,0,0,6.88,6.12,3.44,1,12,0
3000,2.26,10.37,10.01,0,0,0,37.82,8.41,1.84,35.24,7.87,1.7,0,0,0,0,0,0,6.88,6.12,3.44,6,12,0
4000,2.26,10.37,10.01,0,0,0,37.82,8.41,1.84,35.24,7.87,1.7,0,0,0,0,0,0,7.29,6.22,3.48,1,12,0
5000,2.39,10.13,9.96,0,0,0,44.01,10.49,2.32,40.81,9.77,2.14,0,0,0,0,0,0,7.29,6.22,3.48,1,12,0
6000,2.39,10.13,9.96,0,0,0,44.01,10.49,2.32,40.81,9.77,2.14,0,0,0,0,0,0,7.29,6.22,3.48,2,10,0
7000,2.32,9.86,9.91,0,0,0,50.89,12.83,2.86,47.73,12.04,2.67,0,0,0,0,0,0,7.29,6.22,3.48,1,12,0
8000,2.32,9.86,9.91,0,0,0,50.89,12.83,2.86,47.73,12.04,2.67,0,0,0,0,0,0,7.29,6.22,3.48,1,12,0
9000,2.26,9.6,9.85,0,0,0,55.8,14.96,3.38,52.49,14.06,3.16,0,0,0,0,0,0,7.66,6.32,3.53,3,12,0
10000,2.26,9.6,9.85,0,0,0,55.8,14.96,3.38,52.49,14.06,3.16,0,0,0,0,0,0,7.66,6.32,3.53,1,12,0
11000,2.21,9.35,9.8,0,0,0,59.64,16.99,3.88,56.02,15.96,3.63,0,0,0,0,0,0,7.66,6.32,3.53,1,12,0
12000,2.21,9.35,9.8,0,0,0,59.64,16.99,3.88,56.02,15.96,3.63,0,0,0,0,0,0,7.66,6.32,3.53,2,12,0
13000,2.17,9.11,9.74,0,0,0,62.97,18.99,4.39,59.46,17.89,4.11,0,0,0,0,0,0,7.66,6.32,3.53,2,12,0
14000,2.17,9.11,9.74,0,0,0,62.97,18.99,4.39,59.46,17.89,4.11,0,0,0,0,0,0,8.01,6.41,3.57,2,12,0
15000,2.14,8.88,9.69,0,0,0,64.78,20.75,4.86,61.01,19.53,4.55,0,0,0,0,0,0,8.01,6.41,3.57,1,11,0
16000,2.14,8.88,9.69,0,0,0,64.78,20.75,4.86,61.01,19.53,4.55,0,0,0,0,0,0,8.01,6.41,3.57,2,12,0
17000,2.3,8.69,9.65,0,0,0,66.09,22.43,5.32,61.73,21.02,4.96,0,0,0,0,0,0,8.01,6.41,3.57,1,12,0
18000,2.3,8.69,9.65,0,0,0,66.09,22.43,5.32,61.73,21.02,4.96,0,0,0,0,0,0,8.01,6.41,3.57,4,12,0
19000,2.24,8.47,9.59,0,0,0,66.44,23.92,5.74,61.41,22.29,5.34,0,0,0,0,0,0,8.49,6.54,3.63,6,12,0
20000,2.24,8.47,9.59,0,0,0,66.44,23.92,5.74,61.41,22.29,5.34,0,0,0,0,0,0,8.49,6.54,3.63,4,12,0
21000,2.2,8.26,9.54,0,0,0,67.81,25.56,6.21,62.61,23.79,5.77,0,0,0,0,0,0,8.49,6.54,3.63,2,12,0
22000,2.2,8.26,9.54,0,0,0,67.81,25.56,6.21,62.61,23.79,5.77,0,0,0,0,0,0,8.49,6.54,3.63,2,12,0
23000,2.16,8.05,9.49,0,0,0,68.75,27.11,6.67,63.4,25.2,6.19,0,0,0,0,0,0,8.49,6.54,3.63,5,12,0
24000,2.16,8.05,9.49,0,0,0,68.75,27.11,6.67,63.4,25.2,6.19,0,0,0,0,0,0,8.85,6.64,3.68,1,10,0
25000,2.13,7.85,9.44,0,0,0,69.7,28.65,7.13,64.23,26.6,6.61,0,0,0,0,0,0,8.85,6.64,3.68,3,11,0
26000,2.13,7.85,9.44,0,0,0,69.7,28.65,7.13,64.23,26.6,6.61,0,0,0,0,0,0,8.85,6.64,3.68,3,12,0
27000,2.1,7.66,9.39,0,0,0,70.3,30.1,7.58,64.55,27.89,7.02,0,0,0,0,0,0,8.85,6.64,3.68,4,12,0
28000,2.1,7.66,9.39,0,0,0,70.3,30.1,7.58,64.55,27.89,7.02,0,0,0,0,0,0,8.85,6.64,3.68,1,12,0
29000,2.27,7.51,9.34,0,0,0,70.6,31.47,8.02,64.63,29.11,7.41,0,0,0,0,0,0,9.35,6.78,3.74,1,12,0
30000,2.27,7.51,9.34,0,0,0,70.6,31.47,8.02,64.63,29.11,7.41,0,0,0,0,0,0,9.35,6.78,3.74,2,12,0
31000,2.04,7.29,9.29,0,0,0,71.4,32.89,8.48,65.24,30.38,7.83,0,0,0,0,0,0,9.35,6.78,3.74,2,12,0
32000,2.04,7.29,9.29,0,0,0,71.4,32.89,8.48,65.24,30.38,7.83,0,0,0,0,0,0,9.35,6.78,3.74,2,12,0
33000,2.03,7.12,9.23,0,0,0,71.69,34.2,8.92,65.38,31.54,8.23,0,0,0,0,0,0,9.35,6.78,3.74,3,11,0
34000,2.03,7.12,9.23,0,0,0,71.69,34.2,8.92,65.38,31.54,8.23,0,0,0,0,0,0,9.56,6.87,3.79,2,12,0
35000,2.02,6.95,9.18,0,0,0,71.93,35.47,9.36,65.49,32.67,8.62,0,0,0,0,0,0,9.56,6.87,3.79,1,12,0
36000,2.02,6.95,9.18,0,0,0,71.93,35.47,9.36,65.49,32.67,8.62,0,0,0,0,0,0,9.56,6.87,3.79,1,12,0
37000,2.02,6.79,9.14,0,0,0,71.94,36.67,9.79,65.4,33.73,9.01,0,0,0,0,0,0,9.56,6.87,3.79,2,12,0
38000,2.02,6.79,9.14,0,0,0,71.94,36.67,9.79,65.4,33.73,9.01,0,0,0,0,0,0,9.56,6.87,3.79,2,11,0
39000,2.01,6.63,9.09,0,0,0,72.31,37.89,10.22,65.87,34.85,9.41,0,0,0,0,0,0,9.83,6.97,3.84,4,12,0
40000,2.01,6.63,9.09,0,0,0,72.31,37.89,10.22,65.87,34.85,9.41,0,0,0,0,0,0,9.83,6.97,3.84,3,12,0
41000,2.01,6.48,9.04,0,0,0,72.44,39.04,10.65,65.71,35.84,9.79,0,0,0,0,0,0,9.83,6.97,3.84,1,12,0
42000,2.01,6.48,9.04,0,0,0,72.44,39.04,10.65,65.71,35.84,9.79,0,0,0,0,0,0,9.83,6.97,3.84,2,12,0
43000,2.01,6.33,8.99,0,0,0,72.54,40.15,11.08,65.76,36.82,10.18,0,0,0,0,0,0,9.83,6.97,3.84,1,12,0
44000,2.01,6.33,8.99,0,0,0,72.54,40.15,11.08,65.76,36.82,10.18,0,0,0,0,0,0,10.01,7.06,3.88,2,12,0
45000,2,6.19,8.94,0,0,0,72.08,41.13,11.48,65.26,37.68,10.54,0,0,0,0,0,0,10.01,7.06,3.88,4,12,0
46000,2,6.19,8.94,0,0,0,72.08,41.13,11.48,65.26,37.68,10.54,0,0,0,0,0,0,10.01,7.06,3.88,7,12,0
47000,2,6.05,8.89,0,0,0,71.88,42.1,11.89,65.21,38.57,10.91,0,0,0,0,0,0,10.01,7.06,3.88,1,12,0
48000,2,6.05,8.89,0,0,0,71.88,42.1,11.89,65.21,38.57,10.91,0,0,0,0,0,0,10.01,7.06,3.88,5,12,0
49000,2.18,5.95,8.85,0,0,0,71.54,43.02,12.29,64.81,39.37,11.27,0,0,0,0,0,0,10.17,7.14,3.92,1,12,0
50000,2.18,5.95,8.85,0,0,0,71.54,43.02,12.29,64.81,39.37,11.27,0,0,0,0,0,0,10.17,7.14,3.92,3,12,0
51000,2.15,5.82,8.81,0,0,0,72.53,44.13,12.73,66.29,40.47,11.69,0,0,0,0,0,0,10.17,7.14,3.92,2,12,0
52000,2.15,5.82,8.81,0,0,0,72.53,44.13,12.73,66.29,40.47,11.69,0,0,0,0,0,0,10.17,7.14,3.92,1,12,0
