time_ms,cpu_psi_some_10,cpu_psi_some_60,cpu_psi_some_300,cpu_psi_full_10,cpu_psi_full_60,cpu_psi_full_300,io_psi_some_10,io_psi_some_60,io_psi_some_300,io_psi_full_10,io_psi_full_60,io_psi_full_300,mem_psi_some_10,mem_psi_some_60,mem_psi_some_300,mem_psi_full_10,mem_psi_full_60,mem_psi_full_300,load_avg_1,load_avg_5,load_avg_15,procs_running,procs_blocked,procs_disk_io
0,1.13,7.47,15.37,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.46,7.2,4.26,2,0,0
1000,1.13,7.47,15.37,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.19,7.08,4.23,4,0,0
2000,0.93,7.23,15.26,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.19,7.08,4.23,1,0,0
3000,0.93,7.23,15.26,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.19,7.08,4.23,2,0,0
4000,2.02,7.22,15.2,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.19,7.08,4.23,2,0,0
5000,2.02,7.22,15.2,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.19,7.08,4.23,2,0,0
6000,4.56,7.51,15.21,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.25,7.02,4.23,3,0,0
7000,4.56,7.51,15.21,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.25,7.02,4.23,2,0,0
8000,5.54,7.59,15.17,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.25,7.02,4.23,3,0,0
9000,5.54,7.59,15.17,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.25,7.02,4.23,2,0,0
10000,7.07,7.8,15.16,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.25,7.02,4.23,2,0,0
11000,7.07,7.8,15.16,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.39,6.99,4.24,3,0,0
12000,8.15,7.97,15.15,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.39,6.99,4.24,4,0,0
13000,8.15,7.97,15.15,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.39,6.99,4.24,2,0,0
14000,8.48,8.04,15.11,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.39,6.99,4.24,3,0,0
15000,8.48,8.04,15.11,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.39,6.99,4.24,3,0,0
16000,10.2,8.36,15.13,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.76,7.01,4.26,3,0,0
17000,10.2,8.36,15.13,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.76,7.01,4.26,2,0,0
18000,10.89,8.55,15.13,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.76,7.01,4.26,2,0,0
19000,10.89,8.55,15.13,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,3.76,7.01,4.26,2,0,0
20000,11.45,8.73,15.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,7.01,4.26,3,0,0
21000,11.45,8.73,15.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,7.01,4.27,2,0,0
22000,12.46,9,15.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,7.01,4.27,3,0,0
23000,12.46,9,15.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,7.01,4.27,3,0,0
24000,13.82,9.36,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,7.01,4.27,14,0,0
25000,13.82,9.36,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,7.01,4.27,14,0,0
26000,13.86,9.51,15.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,7.34,4.39,7,0,0
27000,13.86,9.51,15.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,7.34,4.39,10,0,0
28000,14.24,9.72,15.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,7.34,4.39,4,0,0
29000,14.24,9.72,15.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,7.34,4.39,15,0,0
30000,14.56,9.93,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,7.34,4.39,10,0,0
31000,14.56,9.93,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51,7.45,4.45,19,0,0
32000,14.82,10.12,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51,7.45,4.45,31,0,0
33000,14.82,10.12,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51,7.45,4.45,4,0,0
34000,15.21,10.35,15.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51,7.45,4.45,23,0,0
35000,15.21,10.35,15.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51,7.45,4.45,9,0,0
36000,15.9,10.63,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,7.44,4.46,10,0,0
37000,15.9,10.63,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,7.44,4.46,16,0,0
38000,15.92,10.81,15.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,7.44,4.46,28,0,0
39000,15.92,10.81,15.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,7.44,4.46,10,0,0
40000,15.93,10.98,15.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,7.44,4.46,28,0,0
41000,15.93,10.98,15.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,7.37,4.45,3,0,0
42000,15.94,11.14,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,7.37,4.45,10,0,0
43000,15.94,11.14,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,7.37,4.45,10,0,0
44000,15.59,11.24,15.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,7.37,4.45,3,0,0
45000,15.59,11.24,15.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,7.37,4.45,2,0,0
46000,15.66,11.39,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,7.46,4.5,2,0,0
47000,15.66,11.39,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,7.46,4.5,10,0,0
48000,16.09,11.61,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,7.46,4.5,30,0,0
49000,16.09,11.61,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,7.46,4.5,19,0,0
